Land,Ländercode,Jahr,Aerzte_pro_1000,Gesundheitsausgaben_BIP,Kindersterblichkeit,Krankenhausbetten_pro_1000,Lebenserwartung,Letzte_Aktualisierung
Honduras,HND,2023,,,,0.53,,24.04.2026 22:33
Honduras,HND,2024,,,12.8,,73.044,24.04.2026 22:33
"Hong Kong SAR, China",HKG,2024,,,,,85.3926829268293,24.04.2026 22:33
Hungary,HUN,2024,,,3.1,,76.7243902439025,24.04.2026 22:33
Iceland,ISL,2023,4.373,,,,,24.04.2026 22:33
Iceland,ISL,2024,,8.98358727,2.1,,82.809756097561,24.04.2026 22:33
India,IND,2024,,,23.3,,72.235,24.04.2026 22:33
Indonesia,IDN,2023,0.524,,,1.37,,24.04.2026 22:33
Indonesia,IDN,2024,,,15.2,,71.288,24.04.2026 22:33
"Iran, Islamic Rep.",IRN,2023,1.811,,,,,24.04.2026 22:33
"Iran, Islamic Rep.",IRN,2024,,,10.3,,77.854,24.04.2026 22:33
Iraq,IRQ,2024,,,20.1,,72.424,24.04.2026 22:33
Ireland,IRL,2023,3.875,,,2.96,,24.04.2026 22:33
Ireland,IRL,2024,,6.85410833,3.4,,83.009756097561,24.04.2026 22:33
Isle of Man,IMN,2024,,,,,81.091,24.04.2026 22:33
Israel,ISR,2023,3.797,,,3.14,,24.04.2026 22:33
Israel,ISR,2024,,,2.7,,83.1975609756098,24.04.2026 22:33
Italy,ITA,2024,,8.44437313,2.3,,83.9512195121951,24.04.2026 22:33
Jamaica,JAM,2023,0.46,,,1.65,,24.04.2026 22:33
Jamaica,JAM,2024,,,16.4,,71.606,24.04.2026 22:33
Japan,JPN,2024,,,1.8,,84.0363414634146,24.04.2026 22:33
Jordan,JOR,2023,,,,1.41,,24.04.2026 22:33
Jordan,JOR,2024,,,12.0,,77.981,24.04.2026 22:33
Kazakhstan,KAZ,2023,3.754,,,,,24.04.2026 22:33
Kazakhstan,KAZ,2024,,,7.4,,74.531,24.04.2026 22:33
Kenya,KEN,2023,0.289,,,,,24.04.2026 22:33
Kenya,KEN,2024,,,34.2,,63.834,24.04.2026 22:33
Kiribati,KIR,2024,,,38.8,,66.6,24.04.2026 22:33
"Korea, Dem. People's Rep.",PRK,2024,,,13.3,,73.743,24.04.2026 22:33
"Korea, Rep.",KOR,2024,,8.67656994,2.3,,83.6292682926829,24.04.2026 22:33
Kosovo,XKX,2024,,,8.0,,78.222,24.04.2026 22:33
Kuwait,KWT,2024,,,7.0,,84.580487804878,24.04.2026 22:33
Kyrgyz Republic,KGZ,2023,1.568,,,3.73,,24.04.2026 22:33
Kyrgyz Republic,KGZ,2024,,,14.8,,72.4,24.04.2026 22:33
Lao PDR,LAO,2023,,,,1.71,,24.04.2026 22:33
Lao PDR,LAO,2024,,,27.2,,69.225,24.04.2026 22:33
Latin America & Caribbean (excluding high income),LAC,2024,,,13.1003633890763,,75.673084413774,24.04.2026 22:33
Latin America & the Caribbean (IDA & IBRD countries),TLA,2024,,,13.3773185376884,,75.7447305457285,24.04.2026 22:33
Latvia,LVA,2023,,,,4.95,,24.04.2026 22:33
Latvia,LVA,2024,,,2.2,,76.4292682926829,24.04.2026 22:33
Lebanon,LBN,2024,,,15.3,,77.945,24.04.2026 22:33
Lesotho,LSO,2024,,,56.3,,57.798,24.04.2026 22:33
Liberia,LBR,2024,,,63.2,,62.324,24.04.2026 22:33
Libya,LBY,2024,,,7.9,,71.121,24.04.2026 22:33
Liechtenstein,LIE,2024,,,,,84.2,24.04.2026 22:33
Lithuania,LTU,2024,,7.59519005,2.8,,77.1951219512195,24.04.2026 22:33
Luxembourg,LUX,2023,,,,3.95,,24.04.2026 22:33
Luxembourg,LUX,2024,,5.89136267,1.9,,83.1951219512195,24.04.2026 22:33
"Macao SAR, China",MAC,2024,,,,,83.3317073170732,24.04.2026 22:33
Madagascar,MDG,2024,,,43.0,,63.835,24.04.2026 22:33
Malawi,MWI,2024,,,38.0,,67.561,24.04.2026 22:33
Malaysia,MYS,2023,2.341,,,1.96,,24.04.2026 22:33
Malaysia,MYS,2024,,,7.0,,76.821,24.04.2026 22:33
Maldives,MDV,2024,,,4.7,,81.285,24.04.2026 22:33
Mali,MLI,2023,0.188,,,,,24.04.2026 22:33
Mali,MLI,2024,,,47.5,,60.675,24.04.2026 22:33
Malta,MLT,2024,,,4.7,,82.9560975609756,24.04.2026 22:33
Marshall Islands,MHL,2024,,,22.7,,67.075,24.04.2026 22:33
Mauritania,MRT,2024,,,30.2,,68.713,24.04.2026 22:33
Mauritius,MUS,2023,,,,3.8,,24.04.2026 22:33
Mauritius,MUS,2024,,,13.8,,73.7890243902439,24.04.2026 22:33
Mexico,MEX,2024,,,12.1,,75.264,24.04.2026 22:33
"Micronesia, Fed. Sts.",FSM,2024,,,20.3,,67.357,24.04.2026 22:33
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2024,,,32.0,,72.3146404500558,24.04.2026 22:33
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2024,,,33.7113790157987,,71.5035205544959,24.04.2026 22:33
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2024,,,33.5717272338857,,71.4871863765917,24.04.2026 22:33
Moldova,MDA,2023,4.016,,,5.54,,24.04.2026 22:33
Moldova,MDA,2024,,,15.1,,71.332,24.04.2026 22:33
Monaco,MCO,2024,,,2.2,,86.497,24.04.2026 22:33
Mongolia,MNG,2023,,,,8.58,,24.04.2026 22:33
Mongolia,MNG,2024,,,11.2,,72.3980487804878,24.04.2026 22:33
Montenegro,MNE,2023,2.783,,,,,24.04.2026 22:33
Montenegro,MNE,2024,,,1.9,,77.890243902439,24.04.2026 22:33
Morocco,MAR,2023,,,,0.73,,24.04.2026 22:33
Morocco,MAR,2024,,,14.7,,75.493,24.04.2026 22:33
Mozambique,MOZ,2024,,,43.7,,63.797,24.04.2026 22:33
Myanmar,MMR,2024,,,32.8,,67.095,24.04.2026 22:33
Namibia,NAM,2024,,,36.4,,67.516,24.04.2026 22:33
Nauru,NRU,2024,,,7.7,,62.279,24.04.2026 22:33
Nepal,NPL,2023,1.011,,,0.54,,24.04.2026 22:33
Nepal,NPL,2024,,,22.2,,70.636,24.04.2026 22:33
Netherlands,NLD,2024,,10.00551128,3.4,,81.9658536585366,24.04.2026 22:33
New Caledonia,NCL,2024,,,,,78.921,24.04.2026 22:33
New Zealand,NZL,2023,,,,2.51,,24.04.2026 22:33
New Zealand,NZL,2024,,10.06186676,4.0,,82.009756097561,24.04.2026 22:33
Nicaragua,NIC,2024,,,9.4,,75.1,24.04.2026 22:33
Niger,NER,2023,0.038,,,,,24.04.2026 22:33
Niger,NER,2024,,,65.6,,61.433,24.04.2026 22:33
Nigeria,NGA,2023,0.38,,,,,24.04.2026 22:33
Nigeria,NGA,2024,,,69.8,,54.635,24.04.2026 22:33
North Macedonia,MKD,2024,,,2.5,,76.6165853658537,24.04.2026 22:33
Northern Mariana Islands,MNP,2024,,,,,78.947,24.04.2026 22:33
Norway,NOR,2023,4.975,,,3.3,,24.04.2026 22:33
Norway,NOR,2024,,,2.0,,83.1609756097561,24.04.2026 22:33
Oman,OMN,2023,,,,0.99,,24.04.2026 22:33
Oman,OMN,2024,,,8.3,,80.246,24.04.2026 22:33
Pakistan,PAK,2024,,,48.2,,67.799,24.04.2026 22:33
Palau,PLW,2023,1.808,,,,,24.04.2026 22:33
Palau,PLW,2024,,,18.6,,69.383,24.04.2026 22:33
Panama,PAN,2023,,,,1.95,,24.04.2026 22:33
Panama,PAN,2024,,,12.0,,79.775,24.04.2026 22:33
Papua New Guinea,PNG,2023,0.061,,,0.62,,24.04.2026 22:33
Papua New Guinea,PNG,2024,,,31.3,,66.256,24.04.2026 22:33
Paraguay,PRY,2024,,,14.5,,73.982,24.04.2026 22:33
Peru,PER,2023,1.688,,,1.56,,24.04.2026 22:33
Peru,PER,2024,,,11.0,,77.941,24.04.2026 22:33
Philippines,PHL,2024,,,21.7,,69.946,24.04.2026 22:33
Poland,POL,2023,4.031,,,,,24.04.2026 22:33
Poland,POL,2024,,8.06380177,3.6,,78.409756097561,24.04.2026 22:33
Portugal,PRT,2024,,10.24061108,2.7,,82.3829268292683,24.04.2026 22:33
Puerto Rico (US),PRI,2024,,,,,81.902,24.04.2026 22:33
Qatar,QAT,2023,3.022,,,,,24.04.2026 22:33
Qatar,QAT,2024,,,4.8,,82.522,24.04.2026 22:33
Romania,ROU,2024,,,6.0,,76.4585365853659,24.04.2026 22:33
Russian Federation,RUS,2023,,,,6.81,,24.04.2026 22:33
Russian Federation,RUS,2024,,,4.1,,73.4404878048781,24.04.2026 22:33
Rwanda,RWA,2023,,,,0.75,,24.04.2026 22:33
Rwanda,RWA,2024,,,29.4,,68.017,24.04.2026 22:33
Samoa,WSM,2024,,,12.3,,71.826,24.04.2026 22:33
San Marino,SMR,2023,4.629,,,,,24.04.2026 22:33
San Marino,SMR,2024,,,1.2,,85.817,24.04.2026 22:33
Sao Tome and Principe,STP,2024,,,9.2,,69.905,24.04.2026 22:33
Saudi Arabia,SAU,2023,3.406,,,2.41,,24.04.2026 22:33
Saudi Arabia,SAU,2024,,,4.7,,78.982,24.04.2026 22:33
Senegal,SEN,2023,0.109,,,,,24.04.2026 22:33
Senegal,SEN,2024,,,28.9,,68.924,24.04.2026 22:33
Serbia,SRB,2024,,,4.6,,75.9682926829268,24.04.2026 22:33
Seychelles,SYC,2023,,,,2.63,,24.04.2026 22:33
Seychelles,SYC,2024,,,12.9,,76.2951219512195,24.04.2026 22:33
Sierra Leone,SLE,2024,,,54.6,,61.964,24.04.2026 22:33
Singapore,SGP,2023,,,,2.81,,24.04.2026 22:33
Singapore,SGP,2024,,,2.2,,83.3463414634146,24.04.2026 22:33
Sint Maarten (Dutch part),SXM,2024,,,,,76.528,24.04.2026 22:33
Slovak Republic,SVK,2023,,,,5.57,,24.04.2026 22:33
Slovak Republic,SVK,2024,,,5.3,,78.3707317073171,24.04.2026 22:33
Slovenia,SVN,2024,,9.87630939,1.8,,82.2853658536585,24.04.2026 22:33
Solomon Islands,SLB,2023,0.238,,,,,24.04.2026 22:33
Solomon Islands,SLB,2024,,,16.4,,70.694,24.04.2026 22:33
"Somalia, Fed. Rep.",SOM,2024,,,65.4,,58.967,24.04.2026 22:33
South Africa,ZAF,2024,,,24.2,,66.312,24.04.2026 22:33
South Asia (IDA & IBRD),TSA,2024,,,23.1983353430041,,72.5599614464264,24.04.2026 22:33
South Sudan,SSD,2024,,,71.9,,57.738,24.04.2026 22:33
Spain,ESP,2023,,,,2.91,,24.04.2026 22:33
Spain,ESP,2024,,,2.6,,83.8878048780488,24.04.2026 22:33
Sri Lanka,LKA,2023,1.136,,,3.93,,24.04.2026 22:33
Sri Lanka,LKA,2024,,,5.2,,77.672,24.04.2026 22:33
St. Kitts and Nevis,KNA,2023,,,,3.98,,24.04.2026 22:33
St. Kitts and Nevis,KNA,2024,,,13.9,,72.281,24.04.2026 22:33
St. Lucia,LCA,2024,,,15.8,,72.846,24.04.2026 22:33
St. Martin (French part),MAF,2024,,,,,80.438,24.04.2026 22:33
St. Vincent and the Grenadines,VCT,2024,,,10.2,,71.382,24.04.2026 22:33
